Sales Data (Columnar).Sales Rep,Sum(With Actual budget.Additional 3),Sum(With Actual budget.Budget)
Aladdin Hawkins,2807432851.530005,9358109505.099998
Amanda Henderson,2807432851.530005,9358109505.099998
Andy Scott,2807432851.530005,9358109505.099998
Billy Brown,2807432851.530005,9358109505.099998
Brandon Harris,2807432851.530005,9358109505.099998
Charles Byers,2807432851.530005,9358109505.099998
Chris Morris,2807432851.530005,9358109505.099998
David Smith,2807432851.530005,9358109505.099998
Jesse Schmidt,2807432851.530005,9358109505.099998
Joe Evans,2807432851.530005,9358109505.099998
John Smith,2807432851.530005,9358109505.099998
Juan Carlos,2807432851.530005,9358109505.099998
Kenneth Peterson,2807432851.530005,9358109505.099998
Larry Young,2807432851.530005,9358109505.099998
Lois Mitchell,2807432851.530005,9358109505.099998
Martha Roberts,2807432851.530005,9358109505.099998
Martin Hammond,2807432851.530005,9358109505.099998
Mike Jones,2807432851.530005,9358109505.099998
Nick Benson,2807432851.530005,9358109505.099998
Roger Lewis,2807432851.530005,9358109505.099998
Roy Adams,2807432851.530005,9358109505.099998
Ruby White,2807432851.530005,9358109505.099998
Ryan Smith,2807432851.530005,9358109505.099998
Shawn Cooper,2807432851.530005,9358109505.099998
Steven Wright,2807432851.530005,9358109505.099998
William Green,2807432851.530005,9358109505.099998
