Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Customer Name,Sum(Orders.Profit)
2014,Aaron Bergman,12.478500000000011
2015,Aaron Bergman,
2016,Aaron Bergman,116.868
2017,Aaron Bergman,
2014,Aaron Hawkins,188.28219999999996
2015,Aaron Hawkins,136.55699999999993
2016,Aaron Hawkins,38.038000000000004
2017,Aaron Hawkins,2.3379999999999983
2014,Aaron Smayling,32.2322
2015,Aaron Smayling,
2016,Aaron Smayling,92.14399999999998
2017,Aaron Smayling,-377.95080000000024
2014,Adam Bellavance,
2015,Adam Bellavance,8.713799999999999
2016,Adam Bellavance,1568.0454999999997
2017,Adam Bellavance,477.82919999999984
2014,Adam Hart,2.4012
2015,Adam Hart,0.3383999999999998
2016,Adam Hart,332.63479999999987
2017,Adam Hart,-54.1854
2014,Adam Shillingsburg,129.55219999999997
2015,Adam Shillingsburg,243.86099999999993
2016,Adam Shillingsburg,22.761999999999965
2017,Adam Shillingsburg,-331.6377999999999
2014,Adrian Barton,498.52079999999995
2015,Adrian Barton,-142.66010000000006
2016,Adrian Barton,4747.8222
2017,Adrian Barton,341.1226
2014,Adrian Hane,-25.913599999999988
2015,Adrian Hane,
2016,Adrian Hane,-299.32890000000003
2017,Adrian Hane,322.92789999999997
2014,Adrian Shami,
2015,Adrian Shami,
2016,Adrian Shami,1.5048
2017,Adrian Shami,20.3448
2014,Aimee Bixby,261.19010000000003
2015,Aimee Bixby,7.021800000000001
2016,Aimee Bixby,5.4432
2017,Aimee Bixby,40.004599999999996
2014,Alan Barnes,-1.0656000000000017
2015,Alan Barnes,80.1519
2016,Alan Barnes,
2017,Alan Barnes,141.72670000000002
2014,Alan Dominguez,-6.594900000000078
2015,Alan Dominguez,9.596400000000001
2016,Alan Dominguez,
2017,Alan Dominguez,1866.9279
2014,Alan Haines,
2015,Alan Haines,-12.552799999999996
2016,Alan Haines,-349.3704999999999
2017,Alan Haines,-16.6276
2014,Alan Hwang,87.18999999999998
2015,Alan Hwang,269.14840000000004
2016,Alan Hwang,5.567399999999999
2017,Alan Hwang,946.6487999999999
2014,Alan Schoenberger,444.69019999999995
2015,Alan Schoenberger,12.863999999999999
2016,Alan Schoenberger,-6.210000000000015
2017,Alan Schoenberger,268.43089999999995
2014,Alan Shonely,37.341599999999985
2015,Alan Shonely,5.0744
2016,Alan Shonely,23.21580000000001
2017,Alan Shonely,-31.91600000000001
2014,Alejandro Ballentine,6.494399999999999
2015,Alejandro Ballentine,34.3378
2016,Alejandro Ballentine,26.076000000000004
2017,Alejandro Ballentine,197.6593
2014,Alejandro Grove,17.988399999999984
2015,Alejandro Grove,16.955999999999996
2016,Alejandro Grove,696.2946999999999
2017,Alejandro Grove,1.5008
2014,Alejandro Savely,
2015,Alejandro Savely,
2016,Alejandro Savely,331.3652
2017,Alejandro Savely,23.262400000000003
2014,Aleksandra Gannaway,28.74299999999999
2015,Aleksandra Gannaway,8.3916
2016,Aleksandra Gannaway,20.485
2017,Aleksandra Gannaway,1.6688
2014,Alex Avila,280.705
2015,Alex Avila,7.009599999999999
2016,Alex Avila,-747.1021000000002
2017,Alex Avila,96.50500000000001
2014,Alex Grayson,
2015,Alex Grayson,
2016,Alex Grayson,61.74300000000001
2017,Alex Grayson,-66.88009999999998
2014,Alex Russell,-242.43960000000007
2015,Alex Russell,-2.569800000000029
2016,Alex Russell,
2017,Alex Russell,23.955
2014,Alice McCarthy,7.68
2015,Alice McCarthy,178.89479999999998
2016,Alice McCarthy,9.977399999999996
2017,Alice McCarthy,-1.5643999999999778
2014,Allen Armold,16.7139
2015,Allen Armold,69.02820000000001
2016,Allen Armold,122.72080000000003
2017,Allen Armold,68.9195
2014,Allen Goldenen,67.9734
2015,Allen Goldenen,
2016,Allen Goldenen,-6.994199999999999
2017,Allen Goldenen,8.2992
2014,Allen Rosenblatt,17.35039999999998
2015,Allen Rosenblatt,105.46800000000002
2016,Allen Rosenblatt,
2017,Allen Rosenblatt,-221.58299999999986
2014,Alyssa Crouse,-14.663200000000053
2015,Alyssa Crouse,
2016,Alyssa Crouse,21.591
2017,Alyssa Crouse,-69.06200000000001
2014,Alyssa Tate,0.8396000000000017
2015,Alyssa Tate,-2.5256
2016,Alyssa Tate,6.433399999999998
2017,Alyssa Tate,96.12939999999998
2014,Amy Cox,83.51279999999991
2015,Amy Cox,24.985299999999995
2016,Amy Cox,381.02869999999996
2017,Amy Cox,876.483
2014,Amy Hunt,
2015,Amy Hunt,-342.0786000000002
2016,Amy Hunt,-1.777200000000004
2017,Amy Hunt,147.7357
2014,Andrew Allen,9.8856
2015,Andrew Allen,
2016,Andrew Allen,420.4986
2017,Andrew Allen,5.4432
2014,Andrew Gjertsen,
2015,Andrew Gjertsen,264.98760000000016
2016,Andrew Gjertsen,6.029999999999999
2017,Andrew Gjertsen,24.6492
2014,Andrew Roberts,-8.401800000000005
2015,Andrew Roberts,27.9936
2016,Andrew Roberts,18.893699999999995
2017,Andrew Roberts,5.183999999999999
2014,Andy Gerbode,-93.52929999999999
2015,Andy Gerbode,-59.232000000000056
2016,Andy Gerbode,
2017,Andy Gerbode,
2014,Andy Reiter,20.1248
2015,Andy Reiter,247.2806
2016,Andy Reiter,9.533999999999997
2017,Andy Reiter,2607.6814
2014,Andy Yotov,65.60989999999998
2015,Andy Yotov,
2016,Andy Yotov,6.697600000000001
2017,Andy Yotov,31.042399999999997
2014,Anemone Ratner,
2015,Anemone Ratner,
2016,Anemone Ratner,32.632999999999996
2017,Anemone Ratner,
2014,Angele Hood,41.59200000000001
2015,Angele Hood,
2016,Angele Hood,13.452000000000002
2017,Angele Hood,28.919000000000004
2014,Ann Blume,-23.89200000000001
2015,Ann Blume,5.5032
2016,Ann Blume,
2017,Ann Blume,-256.57160000000016
2014,Ann Chong,
2015,Ann Chong,-32.29760000000001
2016,Ann Chong,
2017,Ann Chong,331.1249
2014,Ann Steele,71.9506
2015,Ann Steele,-10.807599999999994
2016,Ann Steele,6.3744
2017,Ann Steele,68.97449999999996
2014,Anna Andreadi,77.64169999999997
2015,Anna Andreadi,439.31379999999996
2016,Anna Andreadi,334.62699999999995
2017,Anna Andreadi,6.2208000000000006
2014,Anna Chung,-4.9704000000000015
2015,Anna Chung,
2016,Anna Chung,8.608799999999999
2017,Anna Chung,-32.338800000000006
2014,Anna Gayman,
2015,Anna Gayman,-25.993800000000007
2016,Anna Gayman,-281.5758000000001
2017,Anna Gayman,61.143899999999995
2014,Anna Häberlin,46.196799999999996
2015,Anna Häberlin,107.75169999999981
2016,Anna Häberlin,1144.0680999999995
2017,Anna Häberlin,
2014,Anne McFarland,472.08439999999996
2015,Anne McFarland,14.702599999999997
2016,Anne McFarland,207.2624
2017,Anne McFarland,391.68319999999994
2014,Anne Pryor,54.6459
2015,Anne Pryor,-1.3583999999999987
2016,Anne Pryor,243.57259999999994
2017,Anne Pryor,-11.071300000000008
2014,Annie Thurman,71.21359999999999
2015,Annie Thurman,739.5186
2016,Annie Thurman,51.66600000000001
2017,Annie Thurman,111.70879999999998
2014,Annie Zypern,72.86240000000001
2015,Annie Zypern,34.3344
2016,Annie Zypern,32.56149999999998
2017,Annie Zypern,15.191999999999979
2014,Anthony Garverick,-4.1244
2015,Anthony Garverick,61.705200000000005
2016,Anthony Garverick,
2017,Anthony Garverick,-66.01180000000002
2014,Anthony Jacobs,-56.95330000000024
2015,Anthony Jacobs,5.3214
2016,Anthony Jacobs,-5.699399999999997
2017,Anthony Jacobs,208.04429999999996
2014,Anthony Johnson,503.26559999999995
2015,Anthony Johnson,
2016,Anthony Johnson,400.2037999999999
2017,Anthony Johnson,255.23699999999994
2014,Anthony O'Donnell,
2015,Anthony O'Donnell,
2016,Anthony O'Donnell,12.095999999999997
2017,Anthony O'Donnell,
2014,Anthony Rawles,10.367999999999999
2015,Anthony Rawles,9.3312
2016,Anthony Rawles,370.0541999999999
2017,Anthony Rawles,105.0818
2014,Anthony Witt,
2015,Anthony Witt,-13.497300000000005
2016,Anthony Witt,
2017,Anthony Witt,79.26979999999999
2014,Arianne Irving,288.23710000000005
2015,Arianne Irving,17.0352
2016,Arianne Irving,485.1744
2017,Arianne Irving,77.28040000000003
2014,Art Ferguson,
2015,Art Ferguson,2.0228
2016,Art Ferguson,390.7953
2017,Art Ferguson,-74.8469
2014,Art Foster,-258.55490000000003
2015,Art Foster,101.18540000000003
2016,Art Foster,-5.748000000000001
2017,Art Foster,
2014,Arthur Gainer,144.46079999999992
2015,Arthur Gainer,18.826999999999984
2016,Arthur Gainer,252.36609999999996
2017,Arthur Gainer,-71.97150000000002
2014,Arthur Prichep,420.5929999999999
