Orders.Sub-Category,Orders.Segment,Orders.Region,Orders.Ship Mode,Orders.Customer Name,Orders.Country,Orders.Category,Orders.State,Orders.City,CountNonNull(Orders.Postal Code),Sum(Orders.Discount)
Appliances,Consumer,Central,Standard Class,Russell Applegate,United States,Office Supplies,Texas,Dallas,,
Art,Consumer,Central,Standard Class,Russell Applegate,United States,Office Supplies,Texas,Dallas,,
Binders,Consumer,Central,Standard Class,Russell Applegate,United States,Office Supplies,Texas,Dallas,2,1.6
Fasteners,Consumer,Central,Standard Class,Russell Applegate,United States,Office Supplies,Texas,Dallas,,
Paper,Consumer,Central,Standard Class,Russell Applegate,United States,Office Supplies,Texas,Dallas,,
Appliances,Consumer,Central,Standard Class,Russell Applegate,United States,Office Supplies,Texas,Houston,1,0.8
Art,Consumer,Central,Standard Class,Russell Applegate,United States,Office Supplies,Texas,Houston,,
Binders,Consumer,Central,Standard Class,Russell Applegate,United States,Office Supplies,Texas,Houston,1,0.8
Fasteners,Consumer,Central,Standard Class,Russell Applegate,United States,Office Supplies,Texas,Houston,,
Paper,Consumer,Central,Standard Class,Russell Applegate,United States,Office Supplies,Texas,Houston,,
Appliances,Consumer,Central,Standard Class,Russell Applegate,United States,Office Supplies,Illinois,Highland Park,,
Art,Consumer,Central,Standard Class,Russell Applegate,United States,Office Supplies,Illinois,Highland Park,,
Binders,Consumer,Central,Standard Class,Russell Applegate,United States,Office Supplies,Illinois,Highland Park,1,0.8
Fasteners,Consumer,Central,Standard Class,Russell Applegate,United States,Office Supplies,Illinois,Highland Park,,
Paper,Consumer,Central,Standard Class,Russell Applegate,United States,Office Supplies,Illinois,Highland Park,,
Appliances,Consumer,Central,Standard Class,Russell Applegate,United States,Office Supplies,Indiana,Columbus,,
Art,Consumer,Central,Standard Class,Russell Applegate,United States,Office Supplies,Indiana,Columbus,,
Binders,Consumer,Central,Standard Class,Russell Applegate,United States,Office Supplies,Indiana,Columbus,,
Fasteners,Consumer,Central,Standard Class,Russell Applegate,United States,Office Supplies,Indiana,Columbus,,
Paper,Consumer,Central,Standard Class,Russell Applegate,United States,Office Supplies,Indiana,Columbus,2,0
Appliances,Consumer,Central,Standard Class,Luke Foster,United States,Office Supplies,Texas,San Antonio,1,0.8
Art,Consumer,Central,Standard Class,Luke Foster,United States,Office Supplies,Texas,San Antonio,,
