Date.Quarter,Product.Category-Subcategory.Category,Product.Category-Subcategory.Subcategory,Product.Brand,Customer.Geography.Continent,Customer.Geography.Country,Customer.Geography.State,Customer.Geography.City,Customer.Name,Store.Square Meters,Store.State,Store.Status,Sales.Total Cost,Sales.Margin,Sales.Sales Amount
Q1,Audio,MP4&MP3,Contoso,Australia,Australia,Queensland,Moggill,Ella Sturdee,,Online,,,,
Q2,Audio,MP4&MP3,Contoso,Australia,Australia,Queensland,Moggill,Ella Sturdee,,Online,,,,
Q3,Audio,MP4&MP3,Contoso,Australia,Australia,Queensland,Moggill,Ella Sturdee,,Online,,643.51,601.867,1245.377
Q4,Audio,MP4&MP3,Contoso,Australia,Australia,Queensland,Moggill,Ella Sturdee,,Online,,,,
Q1,Audio,MP4&MP3,Contoso,Europe,France,Île-de-France,Paris,Gérard Robert,,Online,,,,
Q2,Audio,MP4&MP3,Contoso,Europe,France,Île-de-France,Paris,Gérard Robert,,Online,,,,
Q3,Audio,MP4&MP3,Contoso,Europe,France,Île-de-France,Paris,Gérard Robert,,Online,,50.56,48.394999999999996,98.955
Q4,Audio,MP4&MP3,Contoso,Europe,France,Île-de-France,Paris,Gérard Robert,,Online,,,,
Q1,Audio,MP4&MP3,Contoso,Europe,France,Île-de-France,Villepinte,Geoffrey Dubé,,Online,,152.89999999999998,147.05,299.95
Q2,Audio,MP4&MP3,Contoso,Europe,France,Île-de-France,Villepinte,Geoffrey Dubé,,Online,,,,
Q3,Audio,MP4&MP3,Contoso,Europe,France,Île-de-France,Villepinte,Geoffrey Dubé,,Online,,,,
Q4,Audio,MP4&MP3,Contoso,Europe,France,Île-de-France,Villepinte,Geoffrey Dubé,,Online,,,,
Q1,Audio,MP4&MP3,Contoso,Europe,France,Provence-Alpes-Côte d'Azur,Toulon,Pierre Perillard,385,Limousin,,136.512,160.353,296.865
Q2,Audio,MP4&MP3,Contoso,Europe,France,Provence-Alpes-Côte d'Azur,Toulon,Pierre Perillard,385,Limousin,,,,
