Order Date,Invoice Date,Shipping Date,Bill To Address,Shipping Address,Company Name,Company Address,Date,Phone,Invoice Number,Item Code,Description,Value Column Name,Value
"2/12/2021","2/12/2021","2/17/2021","9189 Mesa Maricopa County Arizona United States","9189 Mesa Maricopa County Arizona United States","Contoso Ltd","567, Walnut Lane, Moline, MO 098765","4/12/2020","540-1290-160","100120","D23818","Invoice - D23818","Quantity","41"
"2/12/2021","2/12/2021","2/17/2021","9189 Mesa Maricopa County Arizona United States","9189 Mesa Maricopa County Arizona United States","Contoso Ltd","567, Walnut Lane, Moline, MO 098765","4/12/2020","540-1290-160","100120","D23818","Invoice - D23818","Unit Price","346"
"2/12/2021","2/12/2021","2/17/2021","9189 Mesa Maricopa County Arizona United States","9189 Mesa Maricopa County Arizona United States","Contoso Ltd","567, Walnut Lane, Moline, MO 098765","4/12/2020","540-1290-160","100120","D23818","Invoice - D23818","Discount","41"
"2/12/2021","2/12/2021","2/17/2021","9189 Mesa Maricopa County Arizona United States","9189 Mesa Maricopa County Arizona United States","Contoso Ltd","567, Walnut Lane, Moline, MO 098765","4/12/2020","540-1290-160","100120","D23818","Invoice - D23818","Price","14145"
"2/12/2021","2/12/2021","2/17/2021","9189 Mesa Maricopa County Arizona United States","9189 Mesa Maricopa County Arizona United States","Contoso Ltd","567, Walnut Lane, Moline, MO 098765","4/12/2020","540-1290-160","100120","D23929","Invoice - D23929","Quantity","49"
"2/12/2021","2/12/2021","2/17/2021","9189 Mesa Maricopa County Arizona United States","9189 Mesa Maricopa County Arizona United States","Contoso Ltd","567, Walnut Lane, Moline, MO 098765","4/12/2020","540-1290-160","100120","D23929","Invoice - D23929","Unit Price","157"
"2/12/2021","2/12/2021","2/17/2021","9189 Mesa Maricopa County Arizona United States","9189 Mesa Maricopa County Arizona United States","Contoso Ltd","567, Walnut Lane, Moline, MO 098765","4/12/2020","540-1290-160","100120","D23929","Invoice - D23929","Discount","46"
"2/12/2021","2/12/2021","2/17/2021","9189 Mesa Maricopa County Arizona United States","9189 Mesa Maricopa County Arizona United States","Contoso Ltd","567, Walnut Lane, Moline, MO 098765","4/12/2020","540-1290-160","100120","D23929","Invoice - D23929","Price","7647"
"2/12/2021","2/12/2021","2/17/2021","9189 Mesa Maricopa County Arizona United States","9189 Mesa Maricopa County Arizona United States","Contoso Ltd","567, Walnut Lane, Moline, MO 098765","4/12/2020","540-1290-160","100120","D25013","Invoice - D25013","Quantity","20"
"2/12/2021","2/12/2021","2/17/2021","9189 Mesa Maricopa County Arizona United States","9189 Mesa Maricopa County Arizona United States","Contoso Ltd","567, Walnut Lane, Moline, MO 098765","4/12/2020","540-1290-160","100120","D25013","Invoice - D25013","Unit Price","412"
"2/12/2021","2/12/2021","2/17/2021","9189 Mesa Maricopa County Arizona United States","9189 Mesa Maricopa County Arizona United States","Contoso Ltd","567, Walnut Lane, Moline, MO 098765","4/12/2020","540-1290-160","100120","D25013","Invoice - D25013","Discount","46"
"2/12/2021","2/12/2021","2/17/2021","9189 Mesa Maricopa County Arizona United States","9189 Mesa Maricopa County Arizona United States","Contoso Ltd","567, Walnut Lane, Moline, MO 098765","4/12/2020","540-1290-160","100120","D25013","Invoice - D25013","Price","8194"
