Time.FiscalYear,Store.Chain,Item.Category,Store.Territory,Item.Segment,Item.Buyer,Sales.TotalSales,Sales.TotalSalesLY,Sales.TotalUnits
2014,Fashions Direct,010-Womens,OH,4027,"Buchanan, Alma",49598.98999999999,49280.53,9995
2014,Fashions Direct,010-Womens,OH,4027,"Ray, Violet",13696.169999999996,13695.169999999996,2219
2014,Fashions Direct,010-Womens,OH,4027,"Carr, Slade",7740.289999999998,7629.049999999998,1775
2014,Fashions Direct,010-Womens,OH,4027,"Mendez, Jerry",922.1000000000001,922.1000000000001,350
2014,Fashions Direct,010-Womens,OH,4027,"Ward, Kermit",575.22,575.22,78
2014,Fashions Direct,010-Womens,OH,4027,"Hubbard, Quintessa",240.76999999999998,240.76999999999998,24
2014,Fashions Direct,010-Womens,OH,4027,"Clemons, Uma",177.79000000000002,177.79000000000002,49
2014,Fashions Direct,010-Womens,OH,4027,"Watson, Skyler",135.93,135.93,23
2014,Fashions Direct,010-Womens,OH,4075,"Petty, Perry",28916.09000000002,,4259
2014,Fashions Direct,010-Womens,OH,4075,"Buchanan, Alma",15015.430000000002,1532.2699999999998,1862
2014,Fashions Direct,010-Womens,OH,4075,"Hubbard, Quintessa",7171.199999999998,,2698
2014,Fashions Direct,010-Womens,OH,4075,"Carr, Slade",5280.539999999999,,700
2014,Fashions Direct,010-Womens,OH,4075,"Wright, Howard",4847.919999999999,233.82,783
2014,Fashions Direct,010-Womens,OH,4075,"Barrett, Galvin",2971.6399999999994,,471
2014,Fashions Direct,010-Womens,OH,4075,"Mccray, Nayda",1854.23,,699
2014,Fashions Direct,010-Womens,OH,4075,"Long, Amy",659.33,,67
2014,Fashions Direct,010-Womens,OH,4075,"Rodriguez, Calista",489.62,,166
2014,Fashions Direct,010-Womens,OH,4075,"Mendez, Jerry",362.94,,166
2014,Fashions Direct,010-Womens,OH,4075,"HOUSE, HOUSE",219.78,,22
2014,Fashions Direct,010-Womens,OH,4075,"Monroe, Cody",130.51999999999998,,83
2014,Fashions Direct,010-Womens,OH,4075,"Thomas, Shellie",71.91,,9
2014,Fashions Direct,010-Womens,OH,4075,"Harper, Ferdinand",59.9,,10
2014,Fashions Direct,010-Womens,OH,4075,"Clemons, Uma",33.83,,17
2014,Fashions Direct,010-Womens,OH,4075,"Pierce, Amery",-9.99,,-1
2014,Fashions Direct,010-Womens,OH,4020,"Buchanan, Alma",48677.74999999997,48599.23999999997,4264
