Orders.Region,Orders.Category,Orders.Ship Mode,Orders.Ship Date.Variation.Date Hierarchy.Year,Orders.Ship Date.Variation.Date Hierarchy.Quarter,CountNonNull(Orders.Postal Code),Min(Orders.Customer Name)
Central,Furniture,First Class,2014,Qtr 1,1,Carol Adams
East,Furniture,First Class,2014,Qtr 1,2,Brendan Sweed
South,Furniture,First Class,2014,Qtr 1,2,Matt Connell
West,Furniture,First Class,2014,Qtr 1,4,Aaron Bergman
Central,Furniture,First Class,2014,Qtr 2,4,Emily Burns
East,Furniture,First Class,2014,Qtr 2,1,Shirley Daniels
South,Furniture,First Class,2014,Qtr 2,1,Pauline Johnson
West,Furniture,First Class,2014,Qtr 2,2,Bill Shonely
Central,Furniture,First Class,2014,Qtr 3,3,Joni Sundaresam
East,Furniture,First Class,2014,Qtr 3,7,Jennifer Patt
South,Furniture,First Class,2014,Qtr 3,5,Corey Catlett
West,Furniture,First Class,2014,Qtr 3,4,Bruce Stewart
Central,Furniture,First Class,2014,Qtr 4,5,Joe Kamberova
East,Furniture,First Class,2014,Qtr 4,9,Anna Andreadi
South,Furniture,First Class,2014,Qtr 4,3,Fred Hopkins
West,Furniture,First Class,2014,Qtr 4,15,Carol Triggs
Central,Furniture,First Class,2015,Qtr 1,4,Allen Armold
East,Furniture,First Class,2015,Qtr 1,1,Gary Mitchum
South,Furniture,First Class,2015,Qtr 1,,
West,Furniture,First Class,2015,Qtr 1,3,Marc Crier
Central,Furniture,First Class,2015,Qtr 2,3,Laura Armstrong
East,Furniture,First Class,2015,Qtr 2,2,Victoria Pisteka
South,Furniture,First Class,2015,Qtr 2,5,Benjamin Venier
West,Furniture,First Class,2015,Qtr 2,,
Central,Furniture,First Class,2015,Qtr 3,4,Gary Hansen
East,Furniture,First Class,2015,Qtr 3,10,Clytie Kelty
South,Furniture,First Class,2015,Qtr 3,1,Frank Atkinson
West,Furniture,First Class,2015,Qtr 3,10,Cynthia Arntzen
Central,Furniture,First Class,2015,Qtr 4,,
East,Furniture,First Class,2015,Qtr 4,7,Emily Ducich
South,Furniture,First Class,2015,Qtr 4,4,Ann Blume
West,Furniture,First Class,2015,Qtr 4,3,Chloris Kastensmidt
Central,Furniture,First Class,2016,Qtr 1,2,Jason Gross
East,Furniture,First Class,2016,Qtr 1,4,Dave Kipp
South,Furniture,First Class,2016,Qtr 1,,
West,Furniture,First Class,2016,Qtr 1,2,Fred Chung
Central,Furniture,First Class,2016,Qtr 2,1,Luke Weiss
East,Furniture,First Class,2016,Qtr 2,4,Arthur Gainer
South,Furniture,First Class,2016,Qtr 2,2,Herbert Flentye
West,Furniture,First Class,2016,Qtr 2,8,Darrin Martin
Central,Furniture,First Class,2016,Qtr 3,5,Elizabeth Moffitt
East,Furniture,First Class,2016,Qtr 3,6,Anne Pryor
South,Furniture,First Class,2016,Qtr 3,1,Corey Roper
West,Furniture,First Class,2016,Qtr 3,6,Aaron Smayling
Central,Furniture,First Class,2016,Qtr 4,9,Aaron Bergman
East,Furniture,First Class,2016,Qtr 4,6,Aleksandra Gannaway
South,Furniture,First Class,2016,Qtr 4,7,Eric Barreto
West,Furniture,First Class,2016,Qtr 4,10,Adrian Hane
Central,Furniture,First Class,2017,Qtr 1,2,Cyra Reiten
East,Furniture,First Class,2017,Qtr 1,7,Brian Dahlen
South,Furniture,First Class,2017,Qtr 1,1,Mark Van Huff
West,Furniture,First Class,2017,Qtr 1,6,Bill Eplett
Central,Furniture,First Class,2017,Qtr 2,5,Greg Tran
East,Furniture,First Class,2017,Qtr 2,5,Anthony Jacobs
South,Furniture,First Class,2017,Qtr 2,7,Arthur Gainer
West,Furniture,First Class,2017,Qtr 2,13,Adam Hart
Central,Furniture,First Class,2017,Qtr 3,6,Barry Französisch
East,Furniture,First Class,2017,Qtr 3,10,Adam Shillingsburg
South,Furniture,First Class,2017,Qtr 3,2,Ricardo Sperren
West,Furniture,First Class,2017,Qtr 3,9,Erin Creighton
Central,Furniture,First Class,2017,Qtr 4,10,Brian Moss
East,Furniture,First Class,2017,Qtr 4,15,Adam Hart
South,Furniture,First Class,2017,Qtr 4,11,Brian Thompson
West,Furniture,First Class,2017,Qtr 4,20,Ann Blume
Central,Furniture,Same Day,2014,Qtr 1,1,Troy Blackwell
East,Furniture,Same Day,2014,Qtr 1,,
South,Furniture,Same Day,2014,Qtr 1,1,Trudy Glocke
West,Furniture,Same Day,2014,Qtr 1,,
