Opportunities.Opportunity Owner Name,Opportunities.Budget,Opportunities.Close %,Opportunities.Forecast %
Molly Clark,125,100,0
Molly Clark,250,100,64
Molly Clark,375,100,81
Molly Clark,500,100,152
Molly Clark,5000,100,80
Molly Clark,5125,100,112.75
Molly Clark,5250,100,67.2
Molly Clark,5375,100,55.900000000000006
Molly Clark,5500,100,66
Molly Clark,5625,100,85.5
Molly Clark,5750,100,73.6
Molly Clark,5875,100,84.6
Molly Clark,6000,100,91.2
Molly Clark,6125,100,88.2
Molly Clark,4625,97.40259740259741,104.83333333333333
Molly Clark,4750,97.40259740259741,100.06666666666666
Molly Clark,3375,97.05882352941177,96.3
Molly Clark,4375,96.25,93.33333333333333
Molly Clark,4875,95.06172839506173,111.80000000000001
Molly Clark,4125,95.04950495049505,110.00000000000001
Molly Clark,1000,94.87179487179486,106.66666666666667
Molly Clark,3875,94.79166666666666,102.3
Molly Clark,750,94.44444444444444,105
Molly Clark,3125,94.21487603305785,100.83333333333333
Molly Clark,1875,94.11764705882352,85
Molly Clark,4500,94.11764705882352,102
Molly Clark,2750,93.61702127659575,103.4
Molly Clark,4000,93.10344827586206,90.66666666666666
Molly Clark,1125,93.02325581395348,94.5
Molly Clark,3750,92.7710843373494,126
Molly Clark,3500,92.37288135593221,111.06666666666666
Molly Clark,4250,92.3076923076923,89.53333333333333
Molly Clark,2000,91.66666666666666,100
Molly Clark,2375,91.66666666666666,95
Molly Clark,3250,91.36690647482014,114.39999999999999
Molly Clark,875,90.9090909090909,122.50000000000001
Molly Clark,2125,90.9090909090909,97.75
Molly Clark,625,89.65517241379311,140
Molly Clark,3625,89.0909090909091,97.63333333333334
Molly Clark,2500,87.5,90
Molly Clark,3000,86.04651162790698,103.2
Molly Clark,2250,85.71428571428571,99
Molly Clark,1250,84.81012658227847,74
Molly Clark,2625,84.44444444444444,90.3
Molly Clark,1625,83.33333333333334,67.60000000000001
Molly Clark,1500,81.15942028985508,70.8
Molly Clark,2875,77.08333333333334,94.3
Molly Clark,1375,76.5625,56.10000000000001
Molly Clark,1750,70,54.6
Molly Clark,,4553.897169637633,4502.433333333333
Alicia Thomber,125,100,0
Alicia Thomber,250,100,0
Alicia Thomber,375,100,102
Alicia Thomber,500,100,112.00000000000001
Alicia Thomber,875,100,86.33333333333333
Alicia Thomber,5000,100,90
Alicia Thomber,5125,100,90.2
Alicia Thomber,5250,100,71.39999999999999
Alicia Thomber,5375,100,114.66666666666667
Alicia Thomber,5500,100,61.6
Alicia Thomber,5625,100,90
Alicia Thomber,5750,100,64.4
Alicia Thomber,5875,100,79.9
Alicia Thomber,6000,100,96
Alicia Thomber,6125,100,98
Alicia Thomber,1125,96,117
Alicia Thomber,1000,95.83333333333334,112.00000000000001
Alicia Thomber,1250,92.6829268292683,102.49999999999999
Alicia Thomber,1625,90.69767441860465,57.199999999999996
Alicia Thomber,750,90.32258064516128,90
Alicia Thomber,1875,90,90
Alicia Thomber,4625,89.28571428571429,103.60000000000001
Alicia Thomber,4750,89.28571428571429,104.5
Alicia Thomber,1750,87.75510204081633,63
Alicia Thomber,625,87.5,77.5
Alicia Thomber,4500,85.18518518518519,90
