Category,Sub-Category,Region,Country,State,City,Segment,Product Name,Product ID,Customer Name,Customer ID,Ship Mode,Order ID,Year,Quarter,Value Column Name,Value
"Furniture","Bookcases","Central","United States","Illinois","Chicago","Consumer","Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order","FUR-BO-10004218","Sarah Brown","SB-20185","First Class","CA-2014-120411","2014","Qtr 1","Sum of Profit",
"Furniture","Bookcases","Central","United States","Illinois","Chicago","Consumer","Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order","FUR-BO-10004218","Sarah Brown","SB-20185","First Class","CA-2014-120411","2014","Qtr 1","Sum of Quantity",
"Furniture","Bookcases","Central","United States","Illinois","Chicago","Consumer","Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order","FUR-BO-10004218","Sarah Brown","SB-20185","First Class","CA-2014-120411","2014","Qtr 1","Sum of Sales",
"Furniture","Bookcases","Central","United States","Illinois","Chicago","Consumer","Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order","FUR-BO-10004218","Sarah Brown","SB-20185","First Class","CA-2014-120411","2014","Qtr 1","Sum of Sales - Sum of Profit",
"Furniture","Bookcases","Central","United States","Illinois","Chicago","Consumer","Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order","FUR-BO-10004218","Sarah Brown","SB-20185","First Class","CA-2014-120411","2014","Qtr 1","(Sum of Sales - Sum of Profit)%",
"Furniture","Bookcases","Central","United States","Illinois","Chicago","Consumer","Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order","FUR-BO-10004218","Sarah Brown","SB-20185","First Class","CA-2014-120411","2014","Qtr 1","Sum of Sales - Sum of Quantity",
"Furniture","Bookcases","Central","United States","Illinois","Chicago","Consumer","Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order","FUR-BO-10004218","Sarah Brown","SB-20185","First Class","CA-2014-120411","2014","Qtr 1","(Sum of Sales - Sum of Quantity)%",
"Furniture","Bookcases","Central","United States","Illinois","Chicago","Consumer","Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order","FUR-BO-10004218","Sarah Brown","SB-20185","First Class","CA-2014-120411","2014","Qtr 1","Sum of Quantity - Sum of Profit",
"Furniture","Bookcases","Central","United States","Illinois","Chicago","Consumer","Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order","FUR-BO-10004218","Sarah Brown","SB-20185","First Class","CA-2014-120411","2014","Qtr 1","(Sum of Quantity - Sum of Profit)%",
"Furniture","Bookcases","Central","United States","Illinois","Chicago","Consumer","Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order","FUR-BO-10004218","Sarah Brown","SB-20185","First Class","CA-2014-120411","2014","Qtr 2","Sum of Profit",
"Furniture","Bookcases","Central","United States","Illinois","Chicago","Consumer","Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order","FUR-BO-10004218","Sarah Brown","SB-20185","First Class","CA-2014-120411","2014","Qtr 2","Sum of Quantity",
"Furniture","Bookcases","Central","United States","Illinois","Chicago","Consumer","Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order","FUR-BO-10004218","Sarah Brown","SB-20185","First Class","CA-2014-120411","2014","Qtr 2","Sum of Sales",
"Furniture","Bookcases","Central","United States","Illinois","Chicago","Consumer","Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order","FUR-BO-10004218","Sarah Brown","SB-20185","First Class","CA-2014-120411","2014","Qtr 2","Sum of Sales - Sum of Profit",
"Furniture","Bookcases","Central","United States","Illinois","Chicago","Consumer","Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order","FUR-BO-10004218","Sarah Brown","SB-20185","First Class","CA-2014-120411","2014","Qtr 2","(Sum of Sales - Sum of Profit)%",
"Furniture","Bookcases","Central","United States","Illinois","Chicago","Consumer","Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order","FUR-BO-10004218","Sarah Brown","SB-20185","First Class","CA-2014-120411","2014","Qtr 2","Sum of Sales - Sum of Quantity",
"Furniture","Bookcases","Central","United States","Illinois","Chicago","Consumer","Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order","FUR-BO-10004218","Sarah Brown","SB-20185","First Class","CA-2014-120411","2014","Qtr 2","(Sum of Sales - Sum of Quantity)%",
