Orders.Order Date.Variation.Date Hierarchy.Quarter,Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Sub-Category,Orders.Country,Orders.Customer Name,Sum(Orders.Profit),CountNonNull(Orders.Row ID),Sum(Orders.Sales),Sum(Orders.Discount),Sum(Orders.Quantity)
Qtr 2,2014,Accessories,United States,Aaron Hawkins,,,,,
Qtr 3,2014,Accessories,United States,Aaron Hawkins,,,,,
Qtr 4,2014,Accessories,United States,Aaron Hawkins,11.474099999999996,1,34.769999999999996,0,3
Qtr 2,2015,Accessories,United States,Aaron Hawkins,,,,,
Qtr 3,2015,Accessories,United States,Aaron Hawkins,,,,,
Qtr 4,2015,Accessories,United States,Aaron Hawkins,,,,,
Qtr 2,2016,Accessories,United States,Aaron Hawkins,,,,,
Qtr 3,2016,Accessories,United States,Aaron Hawkins,,,,,
Qtr 4,2016,Accessories,United States,Aaron Hawkins,,,,,
Qtr 2,2017,Accessories,United States,Aaron Hawkins,,,,,
Qtr 3,2017,Accessories,United States,Aaron Hawkins,,,,,
Qtr 4,2017,Accessories,United States,Aaron Hawkins,,,,,
Qtr 2,2014,Accessories,United States,Adam Bellavance,,,,,
Qtr 3,2014,Accessories,United States,Adam Bellavance,,,,,
Qtr 4,2014,Accessories,United States,Adam Bellavance,,,,,
Qtr 2,2015,Accessories,United States,Adam Bellavance,,,,,
Qtr 3,2015,Accessories,United States,Adam Bellavance,,,,,
Qtr 4,2015,Accessories,United States,Adam Bellavance,,,,,
Qtr 2,2016,Accessories,United States,Adam Bellavance,,,,,
Qtr 3,2016,Accessories,United States,Adam Bellavance,2.3086,1,6.79,0,1
Qtr 4,2016,Accessories,United States,Adam Bellavance,,,,,
Qtr 2,2017,Accessories,United States,Adam Bellavance,28.7964,1,79.99,0,1
Qtr 3,2017,Accessories,United States,Adam Bellavance,,,,,
Qtr 4,2017,Accessories,United States,Adam Bellavance,32.68799999999999,1,108.96000000000001,0,3
Qtr 2,2014,Accessories,United States,Adam Hart,,,,,
Qtr 3,2014,Accessories,United States,Adam Hart,,,,,
Qtr 4,2014,Accessories,United States,Adam Hart,,,,,
Qtr 2,2015,Accessories,United States,Adam Hart,,,,,
Qtr 3,2015,Accessories,United States,Adam Hart,,,,,
Qtr 4,2015,Accessories,United States,Adam Hart,,,,,
Qtr 2,2016,Accessories,United States,Adam Hart,,,,,
Qtr 3,2016,Accessories,United States,Adam Hart,,,,,
Qtr 4,2016,Accessories,United States,Adam Hart,-6.210000000000015,1,165.60000000000002,0.2,3
Qtr 2,2017,Accessories,United States,Adam Hart,,,,,
Qtr 3,2017,Accessories,United States,Adam Hart,,,,,
Qtr 4,2017,Accessories,United States,Adam Hart,,,,,
Qtr 2,2014,Accessories,United States,Adam Shillingsburg,,,,,
Qtr 3,2014,Accessories,United States,Adam Shillingsburg,,,,,
Qtr 4,2014,Accessories,United States,Adam Shillingsburg,,,,,
Qtr 2,2015,Accessories,United States,Adam Shillingsburg,,,,,
Qtr 3,2015,Accessories,United States,Adam Shillingsburg,,,,,
Qtr 4,2015,Accessories,United States,Adam Shillingsburg,,,,,
Qtr 2,2016,Accessories,United States,Adam Shillingsburg,,,,,
Qtr 3,2016,Accessories,United States,Adam Shillingsburg,,,,,
Qtr 4,2016,Accessories,United States,Adam Shillingsburg,,,,,
Qtr 2,2017,Accessories,United States,Adam Shillingsburg,,,,,
Qtr 3,2017,Accessories,United States,Adam Shillingsburg,34.18860000000001,2,119.96000000000001,0.4,5
Qtr 4,2017,Accessories,United States,Adam Shillingsburg,,,,,
Qtr 2,2014,Accessories,United States,Adrian Barton,,,,,
Qtr 3,2014,Accessories,United States,Adrian Barton,,,,,
Qtr 4,2014,Accessories,United States,Adrian Barton,,,,,
Qtr 2,2015,Accessories,United States,Adrian Barton,,,,,
Qtr 3,2015,Accessories,United States,Adrian Barton,,,,,
Qtr 4,2015,Accessories,United States,Adrian Barton,,,,,
Qtr 2,2016,Accessories,United States,Adrian Barton,,,,,
Qtr 3,2016,Accessories,United States,Adrian Barton,,,,,
Qtr 4,2016,Accessories,United States,Adrian Barton,,,,,
Qtr 2,2017,Accessories,United States,Adrian Barton,,,,,
Qtr 3,2017,Accessories,United States,Adrian Barton,11.944700000000005,2,129.4,0.4,5
Qtr 4,2017,Accessories,United States,Adrian Barton,,,,,
Qtr 2,2014,Accessories,United States,Adrian Hane,,,,,
Qtr 3,2014,Accessories,United States,Adrian Hane,,,,,
Qtr 4,2014,Accessories,United States,Adrian Hane,,,,,
Qtr 2,2015,Accessories,United States,Adrian Hane,,,,,
Qtr 3,2015,Accessories,United States,Adrian Hane,,,,,
Qtr 4,2015,Accessories,United States,Adrian Hane,,,,,
Qtr 2,2016,Accessories,United States,Adrian Hane,-0.6265000000000072,1,50.120000000000005,0.2,7
Qtr 3,2016,Accessories,United States,Adrian Hane,,,,,
Qtr 4,2016,Accessories,United States,Adrian Hane,-8.458199999999998,1,112.77600000000001,0.2,3
Qtr 2,2017,Accessories,United States,Adrian Hane,,,,,
Qtr 3,2017,Accessories,United States,Adrian Hane,9.815999999999995,1,98.16,0,6
Qtr 4,2017,Accessories,United States,Adrian Hane,,,,,
Qtr 2,2014,Accessories,United States,Aimee Bixby,,,,,
Qtr 3,2014,Accessories,United States,Aimee Bixby,,,,,
Qtr 4,2014,Accessories,United States,Aimee Bixby,,,,,
Qtr 2,2015,Accessories,United States,Aimee Bixby,,,,,
Qtr 3,2015,Accessories,United States,Aimee Bixby,,,,,
Qtr 4,2015,Accessories,United States,Aimee Bixby,,,,,
Qtr 2,2016,Accessories,United States,Aimee Bixby,,,,,
Qtr 3,2016,Accessories,United States,Aimee Bixby,,,,,
Qtr 4,2016,Accessories,United States,Aimee Bixby,,,,,
Qtr 2,2017,Accessories,United States,Aimee Bixby,,,,,
Qtr 3,2017,Accessories,United States,Aimee Bixby,39.5428,1,91.96,0,4
Qtr 4,2017,Accessories,United States,Aimee Bixby,,,,,
Qtr 2,2014,Accessories,United States,Alan Barnes,,,,,
Qtr 3,2014,Accessories,United States,Alan Barnes,,,,,
Qtr 4,2014,Accessories,United States,Alan Barnes,,,,,
Qtr 2,2015,Accessories,United States,Alan Barnes,-2.918000000000003,1,46.688,0.2,4
Qtr 3,2015,Accessories,United States,Alan Barnes,,,,,
Qtr 4,2015,Accessories,United States,Alan Barnes,,,,,
Qtr 2,2016,Accessories,United States,Alan Barnes,,,,,
Qtr 3,2016,Accessories,United States,Alan Barnes,,,,,
Qtr 4,2016,Accessories,United States,Alan Barnes,,,,,
Qtr 2,2017,Accessories,United States,Alan Barnes,,,,,
Qtr 3,2017,Accessories,United States,Alan Barnes,,,,,
Qtr 4,2017,Accessories,United States,Alan Barnes,,,,,
Qtr 2,2014,Accessories,United States,Alan Dominguez,,,,,
Qtr 3,2014,Accessories,United States,Alan Dominguez,,,,,
Qtr 4,2014,Accessories,United States,Alan Dominguez,,,,,
Qtr 2,2015,Accessories,United States,Alan Dominguez,,,,,
Qtr 3,2015,Accessories,United States,Alan Dominguez,,,,,
Qtr 4,2015,Accessories,United States,Alan Dominguez,,,,,
Qtr 2,2016,Accessories,United States,Alan Dominguez,,,,,
Qtr 3,2016,Accessories,United States,Alan Dominguez,,,,,
Qtr 4,2016,Accessories,United States,Alan Dominguez,,,,,
Qtr 2,2017,Accessories,United States,Alan Dominguez,,,,,
Qtr 3,2017,Accessories,United States,Alan Dominguez,,,,,
Qtr 4,2017,Accessories,United States,Alan Dominguez,70.50280000000001,1,163.96,0,4
Qtr 2,2014,Accessories,United States,Alan Hwang,,,,,
Qtr 3,2014,Accessories,United States,Alan Hwang,,,,,
Qtr 4,2014,Accessories,United States,Alan Hwang,,,,,
Qtr 2,2015,Accessories,United States,Alan Hwang,,,,,
Qtr 3,2015,Accessories,United States,Alan Hwang,,,,,
Qtr 4,2015,Accessories,United States,Alan Hwang,35.156000000000006,1,79.9,0,2
Qtr 2,2016,Accessories,United States,Alan Hwang,,,,,
Qtr 3,2016,Accessories,United States,Alan Hwang,,,,,
Qtr 4,2016,Accessories,United States,Alan Hwang,,,,,
Qtr 2,2017,Accessories,United States,Alan Hwang,,,,,
Qtr 3,2017,Accessories,United States,Alan Hwang,,,,,
Qtr 4,2017,Accessories,United States,Alan Hwang,,,,,
Qtr 2,2014,Accessories,United States,Alan Schoenberger,,,,,
Qtr 3,2014,Accessories,United States,Alan Schoenberger,,,,,
Qtr 4,2014,Accessories,United States,Alan Schoenberger,,,,,
Qtr 2,2015,Accessories,United States,Alan Schoenberger,,,,,
Qtr 3,2015,Accessories,United States,Alan Schoenberger,,,,,
Qtr 4,2015,Accessories,United States,Alan Schoenberger,,,,,
Qtr 2,2016,Accessories,United States,Alan Schoenberger,,,,,
Qtr 3,2016,Accessories,United States,Alan Schoenberger,,,,,
Qtr 4,2016,Accessories,United States,Alan Schoenberger,-6.210000000000015,1,165.60000000000002,0.2,3
Qtr 2,2017,Accessories,United States,Alan Schoenberger,,,,,
Qtr 3,2017,Accessories,United States,Alan Schoenberger,,,,,
Qtr 4,2017,Accessories,United States,Alan Schoenberger,,,,,
Qtr 2,2014,Accessories,United States,Alejandro Ballentine,,,,,
Qtr 3,2014,Accessories,United States,Alejandro Ballentine,,,,,
Qtr 4,2014,Accessories,United States,Alejandro Ballentine,,,,,
Qtr 2,2015,Accessories,United States,Alejandro Ballentine,,,,,
Qtr 3,2015,Accessories,United States,Alejandro Ballentine,,,,,
Qtr 4,2015,Accessories,United States,Alejandro Ballentine,10.5754,1,36.784,0.2,2
Qtr 2,2016,Accessories,United States,Alejandro Ballentine,3.574200000000001,1,13.616,0.2,2
Qtr 3,2016,Accessories,United States,Alejandro Ballentine,,,,,
Qtr 4,2016,Accessories,United States,Alejandro Ballentine,,,,,
Qtr 2,2017,Accessories,United States,Alejandro Ballentine,,,,,
Qtr 3,2017,Accessories,United States,Alejandro Ballentine,,,,,
Qtr 4,2017,Accessories,United States,Alejandro Ballentine,,,,,
Qtr 2,2014,Accessories,United States,Alejandro Grove,,,,,
Qtr 3,2014,Accessories,United States,Alejandro Grove,7.9983999999999895,1,99.98,0,2
Qtr 4,2014,Accessories,United States,Alejandro Grove,,,,,
Qtr 2,2015,Accessories,United States,Alejandro Grove,,,,,
Qtr 3,2015,Accessories,United States,Alejandro Grove,,,,,
Qtr 4,2015,Accessories,United States,Alejandro Grove,,,,,
Qtr 2,2016,Accessories,United States,Alejandro Grove,,,,,
Qtr 3,2016,Accessories,United States,Alejandro Grove,,,,,
Qtr 4,2016,Accessories,United States,Alejandro Grove,,,,,
Qtr 2,2017,Accessories,United States,Alejandro Grove,,,,,
Qtr 3,2017,Accessories,United States,Alejandro Grove,,,,,
Qtr 4,2017,Accessories,United States,Alejandro Grove,,,,,
Qtr 2,2014,Accessories,United States,Alejandro Savely,,,,,
Qtr 3,2014,Accessories,United States,Alejandro Savely,,,,,
Qtr 4,2014,Accessories,United States,Alejandro Savely,,,,,
Qtr 2,2015,Accessories,United States,Alejandro Savely,,,,,
Qtr 3,2015,Accessories,United States,Alejandro Savely,,,,,
Qtr 4,2015,Accessories,United States,Alejandro Savely,,,,,
Qtr 2,2016,Accessories,United States,Alejandro Savely,,,,,
Qtr 3,2016,Accessories,United States,Alejandro Savely,,,,,
Qtr 4,2016,Accessories,United States,Alejandro Savely,,,,,
Qtr 2,2017,Accessories,United States,Alejandro Savely,,,,,
Qtr 3,2017,Accessories,United States,Alejandro Savely,,,,,
Qtr 4,2017,Accessories,United States,Alejandro Savely,23.262400000000003,1,116.312,0.2,7
Qtr 2,2014,Accessories,United States,Alex Grayson,,,,,
Qtr 3,2014,Accessories,United States,Alex Grayson,,,,,
Qtr 4,2014,Accessories,United States,Alex Grayson,,,,,
Qtr 2,2015,Accessories,United States,Alex Grayson,,,,,
Qtr 3,2015,Accessories,United States,Alex Grayson,,,,,
Qtr 4,2015,Accessories,United States,Alex Grayson,,,,,
Qtr 2,2016,Accessories,United States,Alex Grayson,,,,,
Qtr 3,2016,Accessories,United States,Alex Grayson,23.41920000000001,1,167.28,0,12
Qtr 4,2016,Accessories,United States,Alex Grayson,,,,,
Qtr 2,2017,Accessories,United States,Alex Grayson,,,,,
Qtr 3,2017,Accessories,United States,Alex Grayson,,,,,
Qtr 4,2017,Accessories,United States,Alex Grayson,,,,,
Qtr 2,2014,Accessories,United States,Alex Russell,,,,,
Qtr 3,2014,Accessories,United States,Alex Russell,,,,,
Qtr 4,2014,Accessories,United States,Alex Russell,,,,,
Qtr 2,2015,Accessories,United States,Alex Russell,,,,,
Qtr 3,2015,Accessories,United States,Alex Russell,,,,,
Qtr 4,2015,Accessories,United States,Alex Russell,,,,,
