Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Orders.Region,Orders.Country,Orders.City,Orders.Customer ID,Orders.Customer Name,Orders.Order ID,Sum(Orders.Discount)
2014,Furniture,Bookcases,Central,United States,Amarillo,DS-13180,David Smith,CA-2017-154907,
2015,Furniture,Bookcases,Central,United States,Amarillo,DS-13180,David Smith,CA-2017-154907,
2016,Furniture,Bookcases,Central,United States,Amarillo,DS-13180,David Smith,CA-2017-154907,
2017,Furniture,Bookcases,Central,United States,Amarillo,DS-13180,David Smith,CA-2017-154907,0.32
2014,Furniture,Bookcases,Central,United States,Brownsville,JB-16000,Joy Bell-,CA-2017-124674,
2015,Furniture,Bookcases,Central,United States,Brownsville,JB-16000,Joy Bell-,CA-2017-124674,
2016,Furniture,Bookcases,Central,United States,Brownsville,JB-16000,Joy Bell-,CA-2017-124674,
2017,Furniture,Bookcases,Central,United States,Brownsville,JB-16000,Joy Bell-,CA-2017-124674,0.32
2014,Furniture,Bookcases,Central,United States,Chicago,BP-11185,Ben Peterman,CA-2016-115574,
2015,Furniture,Bookcases,Central,United States,Chicago,BP-11185,Ben Peterman,CA-2016-115574,
2016,Furniture,Bookcases,Central,United States,Chicago,BP-11185,Ben Peterman,CA-2016-115574,0.3
2017,Furniture,Bookcases,Central,United States,Chicago,BP-11185,Ben Peterman,CA-2016-115574,
2014,Furniture,Bookcases,Central,United States,Chicago,CM-12190,Charlotte Melton,CA-2017-165386,
2015,Furniture,Bookcases,Central,United States,Chicago,CM-12190,Charlotte Melton,CA-2017-165386,
2016,Furniture,Bookcases,Central,United States,Chicago,CM-12190,Charlotte Melton,CA-2017-165386,
2017,Furniture,Bookcases,Central,United States,Chicago,CM-12190,Charlotte Melton,CA-2017-165386,0.3
2014,Furniture,Bookcases,Central,United States,Chicago,HW-14935,Helen Wasserman,CA-2017-140326,
2015,Furniture,Bookcases,Central,United States,Chicago,HW-14935,Helen Wasserman,CA-2017-140326,
2016,Furniture,Bookcases,Central,United States,Chicago,HW-14935,Helen Wasserman,CA-2017-140326,
2017,Furniture,Bookcases,Central,United States,Chicago,HW-14935,Helen Wasserman,CA-2017-140326,0.3
2014,Furniture,Bookcases,Central,United States,Chicago,KD-16345,Katherine Ducich,US-2015-123218,
2015,Furniture,Bookcases,Central,United States,Chicago,KD-16345,Katherine Ducich,US-2015-123218,0.3
2016,Furniture,Bookcases,Central,United States,Chicago,KD-16345,Katherine Ducich,US-2015-123218,
2017,Furniture,Bookcases,Central,United States,Chicago,KD-16345,Katherine Ducich,US-2015-123218,
2014,Furniture,Bookcases,Central,United States,Chicago,RB-19570,Rob Beeghly,US-2016-104815,
2015,Furniture,Bookcases,Central,United States,Chicago,RB-19570,Rob Beeghly,US-2016-104815,
2016,Furniture,Bookcases,Central,United States,Chicago,RB-19570,Rob Beeghly,US-2016-104815,0.3
2017,Furniture,Bookcases,Central,United States,Chicago,RB-19570,Rob Beeghly,US-2016-104815,
2014,Furniture,Bookcases,Central,United States,Chicago,SB-20185,Sarah Brown,CA-2014-120411,0.3
2015,Furniture,Bookcases,Central,United States,Chicago,SB-20185,Sarah Brown,CA-2014-120411,
2016,Furniture,Bookcases,Central,United States,Chicago,SB-20185,Sarah Brown,CA-2014-120411,
2017,Furniture,Bookcases,Central,United States,Chicago,SB-20185,Sarah Brown,CA-2014-120411,
2014,Furniture,Bookcases,Central,United States,Dallas,AH-10465,Amy Hunt,CA-2015-141243,
2015,Furniture,Bookcases,Central,United States,Dallas,AH-10465,Amy Hunt,CA-2015-141243,0.32
2016,Furniture,Bookcases,Central,United States,Dallas,AH-10465,Amy Hunt,CA-2015-141243,
2017,Furniture,Bookcases,Central,United States,Dallas,AH-10465,Amy Hunt,CA-2015-141243,
2014,Furniture,Bookcases,Central,United States,Dallas,KE-16420,Katrina Edelman,CA-2017-113873,
2015,Furniture,Bookcases,Central,United States,Dallas,KE-16420,Katrina Edelman,CA-2017-113873,
2016,Furniture,Bookcases,Central,United States,Dallas,KE-16420,Katrina Edelman,CA-2017-113873,
2017,Furniture,Bookcases,Central,United States,Dallas,KE-16420,Katrina Edelman,CA-2017-113873,0.32
2014,Furniture,Bookcases,Central,United States,Dallas,KT-16480,Kean Thornton,CA-2017-142461,
2015,Furniture,Bookcases,Central,United States,Dallas,KT-16480,Kean Thornton,CA-2017-142461,
2016,Furniture,Bookcases,Central,United States,Dallas,KT-16480,Kean Thornton,CA-2017-142461,
2017,Furniture,Bookcases,Central,United States,Dallas,KT-16480,Kean Thornton,CA-2017-142461,0.32
2014,Furniture,Bookcases,Central,United States,Dallas,ME-17725,Max Engle,CA-2017-137449,
2015,Furniture,Bookcases,Central,United States,Dallas,ME-17725,Max Engle,CA-2017-137449,
2016,Furniture,Bookcases,Central,United States,Dallas,ME-17725,Max Engle,CA-2017-137449,
2017,Furniture,Bookcases,Central,United States,Dallas,ME-17725,Max Engle,CA-2017-137449,0.32
2014,Furniture,Bookcases,Central,United States,Dallas,TP-21415,Tom Prescott,CA-2016-145303,
2015,Furniture,Bookcases,Central,United States,Dallas,TP-21415,Tom Prescott,CA-2016-145303,
2016,Furniture,Bookcases,Central,United States,Dallas,TP-21415,Tom Prescott,CA-2016-145303,0.32
2017,Furniture,Bookcases,Central,United States,Dallas,TP-21415,Tom Prescott,CA-2016-145303,
2014,Furniture,Bookcases,Central,United States,Des Plaines,JK-15730,Joe Kamberova,CA-2014-163468,0.3
